2024-09-19 06:41:18.714648 -- CHALLENGER League -------> 
2024-09-19 06:41:27.683951 -- Sleeping 10 segs ... 
2024-09-19 06:41:37.833750 -- Sleeping 10 segs ... 
2024-09-19 06:41:47.992325 -- Sleeping 10 segs ... 
2024-09-19 06:41:58.144553 -- Sleeping 10 segs ... 
2024-09-19 06:42:08.329182 -- Sleeping 10 segs ... 
2024-09-19 06:42:18.484276 -- Sleeping 10 segs ... 
2024-09-19 06:42:28.642558 -- Sleeping 10 segs ... 
2024-09-19 06:42:38.796416 -- Sleeping 10 segs ... 
2024-09-19 06:42:48.944455 -- Sleeping 10 segs ... 
2024-09-19 06:42:59.098724 -- Sleeping 10 segs ... 
2024-09-19 06:43:33.479634 -- Sleeping 10 segs ... 
2024-09-19 06:43:43.632553 -- Sleeping 10 segs ... 
2024-09-19 06:43:53.794044 -- Sleeping 10 segs ... 
2024-09-19 06:44:03.969243 -- Sleeping 10 segs ... 
2024-09-19 06:44:14.139921 -- Sleeping 10 segs ... 
2024-09-19 06:44:24.292135 -- Sleeping 10 segs ... 
2024-09-19 06:44:34.435446 -- Sleeping 10 segs ... 
2024-09-19 06:44:44.593340 -- Sleeping 10 segs ... 
2024-09-19 06:44:54.747217 -- Sleeping 10 segs ... 
2024-09-19 06:45:04.909250 -- Sleeping 10 segs ... 
2024-09-19 06:45:22.846999 -- inserting match : EUW1_7123431038 
2024-09-19 06:45:24.445229 -- inserting match : EUW1_7123428661 
2024-09-19 06:45:25.986704 -- inserting match : EUW1_7123412900 
2024-09-19 06:45:27.502238 -- inserting match : EUW1_7123366160 
2024-09-19 06:45:29.073274 -- inserting match : EUW1_7123344802 
2024-09-19 06:45:30.568372 -- inserting match : EUW1_7123314338 
2024-09-19 06:45:32.025001 -- inserting match : EUW1_7122987422 
2024-09-19 06:45:33.477773 -- inserting match : EUW1_7122957935 
2024-09-19 06:45:35.017703 -- inserting match : EUW1_7122629254 
2024-09-19 06:45:36.644703 -- inserting match : EUW1_7122250906 
2024-09-19 06:45:38.115484 -- inserting match : EUW1_7122236527 
2024-09-19 06:45:39.610487 -- inserting match : EUW1_7122215029 
2024-09-19 06:45:41.013541 -- inserting match : EUW1_7122190072 
2024-09-19 06:45:42.468056 -- inserting match : EUW1_7122174722 
2024-09-19 06:45:43.930149 -- inserting match : EUW1_7121040499 
2024-09-19 06:45:45.462331 -- inserting match : EUW1_7120997746 
2024-09-19 06:45:47.016268 -- inserting match : EUW1_7120394678 
2024-09-19 06:45:48.576769 -- inserting match : EUW1_7120371511 
2024-09-19 06:45:50.083542 -- inserting match : EUW1_7120338843 
2024-09-19 06:45:51.551956 -- inserting match : EUW1_7120309705 
2024-09-19 06:45:58.202406 -- inserting match : EUW1_7114620440 
2024-09-19 06:46:05.703921 -- Sleeping 10 segs ... 
2024-09-19 06:46:15.892979 -- Sleeping 10 segs ... 
2024-09-19 06:46:26.050949 -- Sleeping 10 segs ... 
2024-09-19 06:46:36.199568 -- Sleeping 10 segs ... 
2024-09-19 06:46:46.361415 -- Sleeping 10 segs ... 
2024-09-19 06:46:56.511410 -- Sleeping 10 segs ... 
2024-09-19 06:47:06.668795 -- Sleeping 10 segs ... 
2024-09-19 06:47:17.101050 -- inserting match : EUW1_7117359846 
2024-09-19 06:47:18.728611 -- inserting match : EUW1_7117333021 
2024-09-19 06:47:20.251140 -- inserting match : EUW1_7117306834 
2024-09-19 06:47:21.702772 -- inserting match : EUW1_7117273387 
2024-09-19 06:47:23.226542 -- inserting match : EUW1_7117241797 
2024-09-19 06:47:24.719670 -- inserting match : EUW1_7115504133 
2024-09-19 06:47:29.822211 -- inserting match : EUW1_7116415409 
2024-09-19 06:47:36.084543 -- inserting match : EUW1_7114873758 
2024-09-19 06:47:47.398070 -- inserting match : EUW1_7123205713 
2024-09-19 06:47:48.890228 -- inserting match : EUW1_7123181793 
2024-09-19 06:47:50.370501 -- inserting match : EUW1_7121711101 
2024-09-19 06:47:54.493432 -- Sleeping 10 segs ... 
2024-09-19 06:48:04.648675 -- Sleeping 10 segs ... 
2024-09-19 06:48:14.802117 -- Sleeping 10 segs ... 
2024-09-19 06:48:24.992873 -- Sleeping 10 segs ... 
2024-09-19 06:48:35.142828 -- Sleeping 10 segs ... 
2024-09-19 06:48:45.293251 -- Sleeping 10 segs ... 
2024-09-19 06:48:55.446278 -- Sleeping 10 segs ... 
2024-09-19 06:49:05.618511 -- Sleeping 10 segs ... 
2024-09-19 06:49:15.764932 -- Sleeping 10 segs ... 
2024-09-19 06:49:48.858129 -- Sleeping 10 segs ... 
2024-09-19 06:49:59.004166 -- Sleeping 10 segs ... 
2024-09-19 06:50:09.151086 -- Sleeping 10 segs ... 
2024-09-19 06:50:19.304011 -- Sleeping 10 segs ... 
